mask,πA,πB,πA1,πB1,πA0,πB0,S,I,D,Un,Uphi,Un-Uphi
0.1,0.0,0.11112491283,0.13346495758,0.0,0.0,0.12503299909,0.90427953632,6.1690492291e-92,0.0013209423988,1.2,0.21114699797167522,0.9888530020283247
0.11,0.0,0.12361085809,0.020021853989,0.0,0.0,0.14106315158,0.90813899775,8.5335234587e-92,0.0012676818311,1.2,0.2348713797658215,0.9651286202341784
0.12000000000000001,0.0,0.13638057483,0.0,0.0,0.0,0.15793706525,0.91186408572,1.1622853372e-91,0.0012162756171,1.2,0.2591349520489692,0.9408650479510308
0.13,0.0,0.14944384828,0.0,0.0,0.0,0.17572315892,0.91545743203,1.5592299573e-91,0.0011666874379,1.2,0.28395630760935403,0.9160436923906459
0.14,0.0,0.16281091879,0.0,0.0,0.0,0.19449745414,0.91892168173,2.0608941262e-91,0.0011188807921,1.2,0.3093549039984055,0.8906450960015945
0.15000000000000002,0.0,0.1764925086,0.0,0.0,0.0,0.21434466142,0.92225949113,2.6846058676e-91,0.0010728190225,1.2,0.3353511144146765,0.8646488855853234
0.16,0.0,0.19049985056,0.0,0.0,0.0,0.23535945812,0.92547352585,3.447561911e-91,0.0010284653433,1.2,0.36196628223618016,0.8380337177638197
0.17,0.0,0.20484471882,0.0,0.0,0.0,0.25764799871,0.92856645893,4.3658985395e-91,0.00098578286681,1.2,0.38922277938579997,0.8107772206142
0.18,0.0,0.21953946192,0.0,0.0,0.0,0.28132970828,0.93154096886,5.4536145809e-91,0.00094473462971,1.2,0.41714406915546876,0.7828559308445312
0.19,0.0,0.23459703819,0.0,0.0,0.0,0.30653942313,0.93439973778,6.7213949479e-91,0.00090528361869,1.2,0.44575477349066156,0.7542452265093385
0.2,0.0,0.25003105386,0.0,0.0,0.0,0.33342995962,0.93714544956,8.175400253e-91,0.0008673927961,1.2,0.47508074543139994,0.7249192545686001
0.21000000000000002,0.0,0.2658558041,0.0,0.0,0.0,0.36217521446,0.93978078805,9.8161017339e-91,0.00083102512492,1.2,0.5051491470362527,0.6948508529637473
0.22,0.0,0.28208631717,0.0,0.0,0.0,0.39297392952,0.94230843526,1.1637249149e-90,0.00079614359338,1.2,0.535988533302516,0.664011466697484
0.23,0.0,0.29873840201,0.0,0.0,0.0,0.42605429328,0.94473106963,1.3625060963e-90,0.00076271123911,1.2,0.5676289425872231,0.6323710574127769
0.24000000000000002,0.0,0.31582869961,0.0,0.0,0.0,0.46167960436,0.94705136429,1.5757720135e-90,0.00073069117278,1.2,0.6001019942269653,0.5998980057730346
0.25,0.0,0.33337473848,0.0,0.0,0.0,0.50015529436,0.94927198541,1.8005245057e-90,0.00070004660135,1.2,0.6334409939083433,0.5665590060916567
0.26,0.0,0.35139499461,0.0,0.0,0.0,0.54183770676,0.95139559052,2.032978429e-90,0.00067074085077,1.2,0.6676810476315025,0.5323189523684975
0.27,0.0,0.36990895639,0.0,0.0,0.0,0.58714516616,0.95342482694,2.2686357277e-90,0.00064273738816,1.2,0.7028591850154249,0.4971408149845751
0.28,0.0,0.38893719489,0.0013717380398,0.0,0.0,0.63657206696,0.95536233018,2.5024033203e-90,0.00061599984353,1.2,0.7390144928918738,0.46098550710812614
0.29000000000000004,0.0,0.4085014401,0.016160775844,0.0,0.0,0.69070698779,0.95721072239,2.7287509204e-90,0.00059049203096,1.2,0.7761882601334562,0.42381173986654375
0.30000000000000004,0.0,0.42862466375,0.029340749984,0.0,0.0,0.75025624134,0.95897261092,2.941901991e-90,0.00056617796928,1.2,0.8144241350185126,0.3855758649814873
0.31,0.0,0.44933116925,0.028784639009,0.0,0.0,0.81607486197,0.9606505868,3.1360485353e-90,0.00054302190219,1.2,0.8537682961318414,0.3462317038681586
0.32,0.0,0.47064668961,0.0,0.0,0.0,0.8892079245,0.96224722334,3.3055785797e-90,0.00052098831785,1.2,0.8942696384533673,0.3057303615466327
0.33,0.0,0.49259849417,0.0,0.0,0.0,0.97094644859,0.96376507478,3.445304152e-90,0.00050004196801,1.2,0.9359799760703997,0.2640200239296002
0.33999999999999997,0.0,0.51521550492,0.0,0.0,0.059196206557,1.0,0.9650700267,3.5717566047e-90,0.0004820336316,1.2414373445899,0.9576077524600001,0.2838295921299
0.35,0.0,0.53852842369,0.0,0.0,0.14322982,1.0,0.96625235901,3.6857024322e-90,0.00046571744569,1.3002608740000001,0.969264211845,0.3309966621550001
0.36,0.0,0.56256987118,0.0,0.0,0.22259489937,1.0,0.96738430207,3.7777565692e-90,0.00045009663139,1.3558164295589998,0.9812849355900001,0.37453149396899976
0.37,0.0,0.58737453922,0.0,0.0,0.29766997444,1.0,0.96846731861,3.8464159961e-90,0.00043515100312,1.4083689821079999,0.99368726961,0.4146817124979999
0.38,0.0,0.61297935784,0.0,0.0,0.36879372978,1.0,0.9695028555,3.8906117069e-90,0.00042086059411,1.458155610846,1.00648967892,0.45166593192600013
0.39,0.0,0.63942367872,0.0,0.0,0.43627011304,1.0,0.97049234336,3.9097334318e-90,0.00040720566162,1.505389079128,1.01971183936,0.48567723976800004
0.4,0.0,0.66674947695,0.0,0.0,0.50037267715,1.0,0.97143719623,3.9036407281e-90,0.00039416669207,1.550260874005,1.033374738475,0.5168861355299998
0.41000000000000003,0.0,0.69500157343,0.16382124489,0.0,0.5613482869,1.0,0.97233881117,3.8726604526e-90,0.00038172440591,1.59294380083,1.0475007867150001,0.545443014115
0.42000000000000004,0.0,0.72422788014,0.27633158129,0.0,0.61942029619,1.0,0.97319856794,3.8175711465e-90,0.00036985976236,1.633594207333,1.06211394007,0.5714802672630002
0.43000000000000005,0.0,0.75447967129,0.33747346398,0.0,0.6747912818,1.0,0.97401782869,3.7395753312e-90,0.00035855396401,1.6723538972599998,1.077239835645,0.5951140616149999
0.44000000000000006,0.0,0.78581188355,0.3669588585,0.0,0.72764540442,1.0,0.9747979376,3.6402611072e-90,0.00034778846118,1.709351783094,1.0929059417749998,0.6164458413190002
0.45000000000000007,0.0,0.81828344899,0.47972407924,0.0,0.77815045492,1.0,0.97554022057,3.5215547553e-90,0.0003375449562,1.744705318444,1.109141724495,0.6355635939490001
0.45999999999999996,0.0,0.85195766499,0.49233754756,0.0,0.82645963367,1.0,0.97624598497,3.3856662602e-90,0.00032780540748,1.778521743569,1.125978832495,0.652542911074
0.47,0.0,0.88690260613,0.30757499867,0.0,0.87271310268,1.0,0.97691651931,3.2350297958e-90,0.00031855203347,1.810899171876,1.143451303065,0.6674478688109999
0.48,0.0,0.92319158347,0.25869169126,0.0,0.91703934381,1.0,0.97755309301,3.0722412436e-90,0.00030976731642,1.841927540667,1.161595791735,0.680331748932
0.49,0.0,0.96090365796,0.80723636382,0.0,0.95955635061,1.0,0.97815695608,2.8999947645e-90,0.00030143400603,1.8716894454269999,1.18045182898,0.691237616447
0.5,0.00012421542756,1.0,0.0,0.00037267714545,1.0,0.65899089373,0.97872806715,2.7221014433e-90,0.00029355267329,1.9,1.2000745354290898,0.6999254645709101
0.51,0.039339901702,1.0,0.0,0.041204214988,1.0,0.44399532509,0.97899155464,2.7050170537e-90,0.00028991654595,1.9,1.2082408429976,0.6917591570024
0.52,0.077047292351,1.0,0.0,0.083737066908,1.0,0.59363001642,0.97925139553,2.68626471e-90,0.00028633074171,1.9000000000000001,1.2167474133815999,0.6832525866184003
0.53,0.1133317626,1.0,0.0,0.12807982742,1.0,0.59937966876,0.97950760819,2.6658690116e-90,0.00028279500696,1.9,1.225615965484,0.6743840345159999
0.54,0.14827236358,1.0,0.0,0.17435053404,1.0,0.60562279065,0.97976021098,2.6438573839e-90,0.00027930908854,1.9,1.234870106808,0.665129893192
0.55,0.18194239725,1.0,0.0,0.22267771651,1.0,0.61168051811,0.98000922219,2.6202600268e-90,0.00027587273376,1.9,1.244535543302,0.6554644566979999
0.56,0.21440992971,1.0,0.0,0.27320158909,1.0,0.61673281981,0.98025466011,2.5951098559e-90,0.00027248569042,1.9,1.254640317818,0.645359682182
0.5700000000000001,0.24573825052,1.0,0.0,0.32607540924,1.0,0.6219626207,0.98049654299,2.5684424372e-90,0.00026914770681,1.9,1.265215081848,0.634784918152
0.58,0.27598628439,1.0,0.0,0.38146703034,1.0,0.6278157554,0.98073488901,2.5402959149e-90,0.00026585853169,1.9,1.2762934060679998,0.6237065939320001
0.59,0.30520896119,1.0,0.0,0.43956068175,1.0,0.63924686427,0.98096971635,2.5107109335e-90,0.00026261791436,1.9,1.28791213635,0.61208786365
0.6,0.33345754876,1.0,0.0,0.50055901572,1.0,0.63897219639,0.98120104315,2.4797305537e-90,0.0002594256046,1.9,1.3001118031439998,0.5998881968560001
0.61,0.36077995313,1.0,0.0,0.56468546938,1.0,0.65183016272,0.98142888749,2.4474001621e-90,0.00025628135271,1.9,1.3129370938759999,0.587062906124
0.62,0.38722098962,1.0,0.0,0.63218699955,1.0,0.65880801445,0.98165326743,2.413767376e-90,0.00025318490951,1.9,1.3264373999099999,0.57356260009
0.63,0.41282262813,1.0,0.0,0.70333726109,1.0,0.66695257189,0.98187420099,2.3788819425e-90,0.00025013602637,1.9,1.340667452218,0.5593325477819999
0.64,0.43762421543,1.0,0.0,0.77844031493,1.0,0.67750793831,0.98209170615,2.3427956329e-90,0.00024713445517,1.9,1.355688062986,0.5443119370139999
0.65,0.46166267697,1.0,0.0,0.85783497184,1.0,0.6870498229,0.98230580084,2.3055621322e-90,0.00024417994834,1.9,1.371566994368,0.5284330056319999
0.66,0.48497270028,1.0,0.0,0.94189990269,1.0,0.69298478212,0.98251650298,2.2672369247e-90,0.00024127225887,1.9,1.3883799805379997,0.5116200194620002
0.67,0.50758690199,1.0,0.03013878061,1.0,1.0,0.69111825189,0.98272270844,2.2306110255e-90,0.00023842662353,1.9030596100559172,1.4,0.5030596100559173
0.6799999999999999,0.52953598013,1.0,0.11178882791,1.0,1.0,0.67019699306,0.98292347161,2.1983277482e-90,0.00023565609174,1.911839241310981,1.4,0.5118392413109811
0.69,0.55084885311,1.0,0.18484553782,1.0,1.0,0.64498843845,0.98312100972,2.1651912546e-90,0.00023293006581,1.9203643905021295,1.4,0.5203643905021296
0.7,0.57155278686,1.0,0.25059771083,1.0,1.0,0.63061495052,0.98331533963,2.1312481432e-90,0.0002302483131,1.9286459640011246,1.4,0.5286459640011247
0.71,0.5916735112,1.0,0.31008869794,1.0,1.0,0.62099938662,0.98350647813,2.0965459261e-90,0.00022761060176,1.9366942537387193,1.4,0.5366942537387194
0.72,0.61123532654,1.0,0.36417217674,1.0,1.0,0.61055139985,0.98369444197,2.0611329293e-90,0.0002250167008,1.9445189798732914,1.4,0.5445189798732915
0.73,0.63026120173,1.0,0.41355337919,1.0,1.0,0.59995893918,0.98387924783,2.0250581937e-90,0.00022246638001,1.9521293299495583,1.4,0.5521293299495584
0.74,0.64877286408,1.0,0.45882001379,1.0,1.0,0.58941310317,0.98406091231,1.9883713735e-90,0.00021995941006,1.9595339948887527,1.4,0.5595339948887528
0.75,0.66679088209,1.0,0.50046576736,1.0,1.0,0.55278253316,0.984239452,1.9511226355e-90,0.00021749556241,1.9667412020947646,1.4,0.5667412020947646
0.76,0.68433474174,1.0,0.53890838398,1.0,1.0,0.56975348425,0.98441488338,1.913362557e-90,0.00021507460938,1.9737587459544947,1.4,0.5737587459544948
0.77,0.70142291673,1.0,0.57450372683,1.0,1.0,0.56313383777,0.98458722289,1.8751420241e-90,0.00021269632413,1.9805940159490705,1.4,0.5805940159490706
0.78,0.71807293338,1.0,0.60755682712,1.0,1.0,0.56026807588,0.98475648691,1.8365121304e-90,0.00021036048066,1.9872540226090205,1.4,0.5872540226090206
0.79,0.73430143062,1.0,0.63833064731,1.0,1.0,0.56165444704,0.98492269175,1.7975240755e-90,0.00020806685382,1.9937454215056647,1.4,0.5937454215056648
0.8,0.75012421543,1.0,0.66705309181,1.0,1.0,0.56781486085,0.98508585367,1.7582290653e-90,0.00020581521933,2.0000745354288263,1.4,0.6000745354288264
